"id","lang","lang_key","lang_value","created_at","updated_at"
"1560","vn","All Products","Tất cả sản phẩm","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1561","vn","In House Products","Sản phẩm nội bộ","2021-06-01 07:08:15","2021-06-10 02:12:07"
"1562","vn","Seller Products","Người bán sản phẩm","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1563","vn","Digital Products","Sản phẩm kĩ thuật số","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1564","vn","Bulk Import","Nhập hàng loạt","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1565","vn","Bulk Export","Xuất hàng loạt","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1566","vn","Category","Danh mục","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1567","vn","Brand","Thương hiệu","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1568","vn","Attribute","Đặc tính","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1569","vn","Product Reviews","Đánh giá sản phẩm","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1570","vn","Sales","Bán hàng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1571","vn","All Orders","Tất cả các đơn hàng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1572","vn","Inhouse orders","Đơn hàng nội bộ","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1573","vn","Seller Orders","Đơn hàng người bán","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1574","vn","Pick-up Point Order","Điểm nhận đơn hàng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1575","vn","Customers","Khách hàng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1576","vn","Customer list","Danh sách khách hàng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1577","vn","Sellers","Người bán","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1578","vn","All Seller","Tất cả người bán","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1579","vn","Payouts","Tiền chi trả","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1580","vn","Payout Requests","Các yêu cầu chi trả","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1581","vn","Seller Commission","Hoa hồng người bán","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1582","vn","Seller Verification Form","Mẫu xác minh người bán","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1583","vn","Uploaded Files","Tải lên tập tin","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1584","vn","Reports","Báo cáo","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1585","vn","In House Product Sale","Giảm giá sản phẩm nội bộ","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1586","vn","Seller Products Sale","Giảm giá sản phẩm người bán","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1587","vn","Products Stock","Sản phẩm còn hàng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1588","vn","Products wishlist","Danh sách sản phẩm mong muốn","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1589","vn","User Searches","Tìm kiếm người dùng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1590","vn","Commission History","Lịch sử hoa hồng","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1591","vn","Wallet Recharge History","Lịch sử nạp tiền vào ví","2021-06-01 07:08:15","2021-06-10 02:22:01"
"1592","vn","Blog System","Hệ thống Blog","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1593","vn","All Posts","Tất cả bài viết","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1594","vn","Categories","Danh mục","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1595","vn","Marketing","Tiếp thị","2021-06-01 07:08:15","2021-06-10 02:22:01"
"1596","vn","Flash deals","Ưu đãi nhanh","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1597","vn","Newsletters","Bản tin","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1598","vn","Subscribers","Người đăng ký","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1599","vn","Coupon","Phiếu mua hàng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1600","vn","Support","Ủng hộ","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1601","vn","Ticket","Vé","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1602","vn","Product Queries","Các câu hỏi sản phẩm","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1603","vn","Website Setup","Cài đặt trang web","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1604","vn","Header","Header","2021-06-01 07:08:15","2021-06-01 07:08:15"
"1605","vn","Footer","Footer","2021-06-01 07:08:15","2021-06-01 07:08:15"
"1606","vn","Pages","Trang","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1607","vn","Appearance","Bề ngoài","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1608","vn","Setup & Configurations","Cài đặt & Cấu hình","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1609","vn","General Settings","Cài đặt chung","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1610","vn","Features activation","Kích hoạt chức năng","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1611","vn","Languages","Ngôn ngữ","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1612","vn","Currency","Tiền tệ","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1613","vn","Vat & TAX","Thuế & VAT","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1614","vn","Pickup point","Điểm đón","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1615","vn","SMTP Settings","Cài đặt SMTP","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1616","vn","Payment Methods","Phương thức thanh toán","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1617","vn","File System Configuration","Cấu hình File System","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1618","vn","Social media Logins","Đăng nhập mạng xã hội","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1619","vn","Analytics Tools","Công cụ phân tích","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1620","vn","Facebook","Facebook","2021-06-01 07:08:15","2021-06-01 07:08:15"
"1621","vn","Facebook Chat","Trò chuyện trên Facebook","2021-06-01 07:08:15","2021-06-10 02:23:09"
"1622","vn","Facebook Comment","Bình luận Facebook","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1623","vn","Google reCAPTCHA","Google reCAPTCHA","2021-06-01 07:08:15","2021-06-01 07:08:15"
"1624","vn","Shipping","Giao hàng","2021-06-01 07:08:15","2021-06-01 07:12:06"
"1625","vn","Shipping Configuration","Cấu hình vận chuyển","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1626","vn","Shipping Countries","Các quốc gia vận chuyển","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1627","vn","Shipping Cities","Vận Chuyển thành phố","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1628","vn","Staffs","Nhân viên","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1629","vn","All staffs","Tất cả nhân viên","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1630","vn","Staff permissions","Quyền nhân viên","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1631","vn","System","Hệ thống","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1632","vn","Update","Cập nhật","2021-06-01 07:08:15","2021-06-01 07:12:07"
"1633","vn","Server status","Trạng thái máy chủ","2021-06-01 07:08:15","2021-06-01 07:12:09"
"1634","vn","Addon Manager","Quản lý addon","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1635","vn","Browse Website","Duyệt qua website","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1636","vn","Notifications","Thông báo","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1637","vn","Profile","Hồ sơ","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1638","vn","Logout","Đăng xuất","2021-06-01 07:08:15","2021-06-01 07:12:08"
"1639","vn","Page Not Found!","Không tìm thấy trang!","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1640","vn","The page you are looking for has not been found on our server.","Các trang web mà bạn đang tìm kiếm chưa được tìm thấy trên máy chủ của chúng tôi.","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1641","vn","Login","Đăng nhập","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1642","vn","Registration","Đăng ký","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1643","vn","I am shopping for...","Tôi đang tìm mua...","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1644","vn","Compare","So sánh","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1645","vn","Wishlist","Danh sách mong muốn","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1646","vn","Cart","Giỏ hàng","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1647","vn","Your Cart is empty","Giỏ của bạn trống trơn","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1648","vn","See All","Xem tất cả","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1649","vn","Home","Trang chủ","2021-06-01 07:08:16","2021-06-01 07:12:05"
"1650","vn","Flash Sale","Khuyến mãi","2021-06-01 07:08:16","2021-06-01 07:12:05"
"1651","vn","Blogs","Blogs","2021-06-01 07:08:16","2021-06-01 07:08:16"
"1652","vn","All Brands","Tất cả thương hiệu","2021-06-01 07:08:16","2021-06-01 07:12:05"
"1653","vn","All Categories","Tất cả danh mục","2021-06-01 07:08:16","2021-06-01 07:12:06"
"1654","vn","Terms & conditions","Điều khoản và điều kiện","2021-06-01 07:08:16","2021-06-01 07:12:05"
"1655","vn","Return Policy","Chính sách trả lại","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1656","vn","Support Policy","Chính sách hỗ trợ","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1657","vn","Privacy Policy","Chính sách bảo mật","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1658","vn","Your Email Address","Địa chỉ email của bạn","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1659","vn","Subscribe","Theo dõi","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1660","vn","Contact Info","Thông tin liên lạc","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1661","vn","Address","Địa chỉ","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1662","vn","Phone","Điện thoại","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1663","vn","Email","E-mail","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1664","vn","My Account","Tài khoản của tôi","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1665","vn","Order History","lịch sử đơn hàng","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1666","vn","My Wishlist","Danh sách mong muốn của tôi","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1667","vn","Track Order","Theo dõi đơn hàng","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1668","vn","Be a Seller","Là một người bán","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1669","vn","Apply Now","Áp dụng ngay bây giờ","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1670","vn","Confirmation","Sự xác nhận","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1671","vn","Delete confirmation message","Xoá tin nhắn xác nhận","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1672","vn","Item has been added to compare list","Mặt hàng đã được thêm vào danh sách so sánh","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1673","vn","Please login first","Hãy đăng nhập trước","2021-06-01 07:08:16","2021-06-01 07:12:08"
"1674","vn","Language changed to ","Language changed to","2021-06-01 07:08:17","2021-06-12 02:51:36"
"1675","vn","All Category","Tất cả danh mục","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1676","vn","All","Tất cả","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1677","vn","View More","Xem thêm","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1678","vn","Add to wishlist","Thêm vào danh sách yêu thích","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1679","vn","Add to compare","Thêm vào để so sánh","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1680","vn","Add to cart","Thêm vào giỏ hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1681","vn","Club Point","Điểm câu lạc bộ","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1682","vn","Classified Ads","Quảng cáo đã phân loại","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1683","vn","Used","Đã sử dụng","2021-06-01 07:12:05","2021-06-09 09:41:13"
"1684","vn","Top 10 Categories","Top 10 danh mục","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1685","vn","View All Categories","Xem tất cả danh mục","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1686","vn","Top 10 Brands","Top 10 thương hiệu","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1687","vn","View All Brands","Xem tất cả thương hiệu","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1688","vn","Best Selling","Bán chạy","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1689","vn","Top 20","Top 20","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1690","vn","Featured Products","Sản phẩm nổi bật","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1691","vn","Best Sellers","Cửa hàng bán chạy nhất","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1692","vn","Visit Store","Xem cửa hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1693","vn","Popular Suggestions","Đề xuất Phổ biến","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1694","vn","Category Suggestions","Đề xuất danh mục","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1695","vn","Automobile & Motorcycle","Ô tô & Xe máy","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1696","vn","Price range","Phạm vi giá","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1697","vn","Filter by color","Lọc theo màu","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1698","vn","Newest","Mới nhất","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1699","vn","Oldest","Cũ nhất","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1700","vn","Price low to high","Giá từ thấp đến cao","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1701","vn","Price high to low","Giá từ cao đến thấp","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1702","vn","Brands","Thương hiệu","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1703","vn","All Sellers","Tất cả người bán","2021-06-01 07:12:05","2021-06-09 09:41:13"
"1704","vn","Inhouse product","Sản phẩm nội bộ","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1705","vn","Message Seller","Nhắn tin cho người bán","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1706","vn","Price","Giá","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1707","vn","Discount Price","Giảm giá","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1708","vn","Color","Màu","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1709","vn","Quantity","Số lượng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1710","vn","available","có sẵn","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1711","vn","Total Price","Tổng giá","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1712","vn","Out of Stock","Hết hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1713","vn","Refund","Hoàn tiền","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1714","vn","Share","Chia sẻ","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1715","vn","Sold By","Được bán bởi","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1716","vn","customer reviews","Nhận xét của khách hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1717","vn","Top Selling Products","Top sản phẩm bán chạy","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1718","vn","Description","Mô tả","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1719","vn","Video","Video","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1720","vn","Reviews","Nhận xét","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1721","vn","Download","Tải xuống","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1722","vn","There have been no reviews for this product yet.","Chưa có nhận xét nào cho sản phẩm này.","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1723","vn","Related products","Sản phẩm liên quan","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1724","vn","Any query about this product","Mọi thắc mắc về sản phẩm này","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1725","vn","Product Name","Tên sản phẩm","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1726","vn","Your Question","Câu hỏi của bạn","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1727","vn","Send","Gửi","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1728","vn","Use country code before number","Sử dụng mã quốc gia trước số","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1729","vn","Remember Me","Ghi nhớ","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1730","vn","Dont have an account?","Chưa có tài khoản?","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1731","vn","Register Now","Đăng ký ngay","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1732","vn","Or Login With","Hoặc đăng nhập với","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1733","vn","oops..","oops..","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1734","vn","This item is out of stock!","Mặt hàng này đã hết!","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1735","vn","Back to shopping","Quay lại mua sắm","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1736","vn","Login to your account.","Đăng nhập vào tài khoản của bạn.","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1737","vn","Purchase History","Lịch sử mua hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1738","vn","New","Mới","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1739","vn","Downloads","Tải xuống","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1740","vn","Sent Refund Request","Yêu cầu hoàn lại tiền đã gửi","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1741","vn","Product Bulk Upload","Tải lên hàng loạt sản phẩm","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1742","vn","Orders","Đơn hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1743","vn","Recieved Refund Request","Đã nhận được yêu cầu hoàn lại tiền","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1744","vn","Shop Setting","Cài đặt cửa hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1745","vn","Payment History","Lịch sử thanh toán","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1746","vn","Money Withdraw","Rút tiền","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1747","vn","Conversations","Cuộc trò chuyện","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1748","vn","My Wallet","Ví của tôi","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1749","vn","Earning Points","Điểm Tích Luỹ","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1750","vn","Support Ticket","Vé ủng hộ","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1751","vn","Manage Profile","Quản lý hồ sơ","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1752","vn","Sold Amount","Số tiền đã bán","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1753","vn","Your sold amount (current month)","Số tiền đã bán của bạn (tháng hiện tại)","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1754","vn","Total Sold","Tổng số đã bán","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1755","vn","Last Month Sold","Tổng bán tháng trước","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1756","vn","Total sale","Tổng doanh thu","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1757","vn","Total earnings","Tổng thu nhập","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1758","vn","Successful orders","Đơn hàng thành công","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1759","vn","Total orders","Tổng số đơn đặt hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1760","vn","Pending orders","Đơn hàng đang đợi","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1761","vn","Cancelled orders","Đơn hàng bị huỷ","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1762","vn","Product","Sản phẩm","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1763","vn","Purchased Package","Gói đã mua","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1764","vn","Package Not Found","Không tìm thấy gói","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1765","vn","Upgrade Package","Gói nâng cấp","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1766","vn","Shop","Cửa hàng","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1767","vn","Manage & organize your shop","Quản lý & tổ chức cửa hàng của bạn","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1768","vn","Go to setting","Đi tới cài đặt","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1769","vn","Payment","Thanh toán","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1770","vn","Configure your payment method","Cấu hình phương thức thanh toán","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1771","vn","My Panel","Bảng điều chỉnh","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1772","vn","Item has been added to wishlist","Mặt hàng đã được thêm vào danh sách ưa thích","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1773","vn","My Points","Điểm của tôi","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1774","vn"," Points","Điểm","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1775","vn","Wallet Money","Ví tiền","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1776","vn","Exchange Rate","Tỷ giá","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1777","vn","Point Earning history","Lịch sử tích luỹ điểm","2021-06-01 07:12:05","2021-06-10 06:48:24"
"1778","vn","Date","Ngày","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1779","vn","Points","Điểm","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1780","vn","Converted","Chuyển đổi","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1781","vn","Action","Thao tác","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1782","vn","No history found.","Không tìm thấy lịch sử.","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1783","vn","Convert has been done successfully Check your Wallets","Chuyển đổi đã được thực hiện thành công kiểm tra ví của bạn","2021-06-01 07:12:05","2021-06-10 06:49:45"
"1784","vn","Remaining Uploads","Tải lên còn lại","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1785","vn","No Package Found","Không tìm thấy gói nào","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1786","vn","Search product","Tìm kiếm sản phẩm","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1787","vn","Current Qty","Số lượng hiện tại","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1788","vn","Base Price","Giá cơ bản","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1789","vn","Published","Được phát hành","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1790","vn","Featured","Đặc sắc","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1791","vn","Duplicate","Bản sao","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1792","vn","1. Download the skeleton file and fill it with data.","1. Tải xuống tệp khung xương và điền vào nó với dữ liệu.","2021-06-01 07:12:05","2021-06-01 07:12:05"
"1793","vn","2. You can download the example file to understand how the data must be filled.","2. Bạn có thể tải file ví dụ để hiểu làm thế nào để điền dữ liệu.","2021-06-01 07:12:05","2021-06-01 07:12:05"
